city,title,category,level,exp_years,year
"Cairo, Alexandria",Big Data Developer,Software Engneering,Experienced,8,2014
Cairo & alexandria,Mobile QA,Software Engneering,Experienced,5,2014
Cairo & alexandria,Big Data QA,Software Engneering,Experienced,5,2014
Cairo,SAP Functional Consultant ,Software Engneering,Experienced,3,2014
Cairo,Senior Data Mining Specialist,Software Engneering,Manager,12,2014
Cairo,Senior SQL Developer,Software Engneering,Experienced,2,2014
Cairo,Senior Mobile Application Developer,Software Engneering,Experienced,2,2014
Giza,Mobile Application Developer,Software Engneering,Experienced,3,2014
Cairo,Artificial Intelligence (AI & NLP) Specialist ,Software Engneering,Experienced,3,2014
New Cairo,Oracle Developer,Software Engneering,Experienced,3,2014
Cairo,.Net Developer,Software Engneering,Entry Level,2,2014
Cairo,Senior Java Developer,Software Engneering,Experienced,7,2014
Cairo,Senior Android Developer,Software Engneering,Experienced,8,2014
Cairo,IOS Developer,Software Engneering,Entry Level,1,2014
Cairo,Android Developer,Software Engneering,Entry Level,1,2014
Cairo,Software Developer,Software Engneering,Experienced,2,2014
nasr city,Mobile application developer ( familiar with Json),Software Engneering,Experienced,3,2014
Cairo,Sharepoint Admin,Software Engneering,Experienced,3,2014
Cairo,Senior Java Developer,Software Engneering,Experienced,4,2014
"Cairo, Alexandria",Big Data Developer,Software Engneering,Experienced,8,2014
Cairo & alexandria,Big Data Quality Assurance Specialist ,Software Engneering,Experienced,5,2014
"Cairo, Alexandria",Mobile Quality Assurance Specialist ,Software Engneering,Experienced,5,2014
"Cairo, Alexandria",Mobile Quality Assurance Specialist ,Software Engneering,Experienced,5,2014
Cairo,Junior PHP/Drupal Developer,Software Engneering,Experienced,3,2014
Cairo,Mobile Game Developer (HTML5),Software Engneering,Entry Level,0,2014
Cairo,Junior Mobile App Developer,Software Engneering,Entry Level,0,2014
Cairo,Senior UI Developer,Software Engneering,Experienced,4,2014
Heliopolis,PHP Developer,Software Engneering,Entry Level,0,2014
6-Oct,IT Specialist ,IT Category,Experienced,3,2014
