title,exp_years,city,level,category,year
IT Specialist,1,Cairo,Entry Level,IT Category,2021
IT Team Lead,5,6th Of October,Manager,IT Category,2021
IT Help Desk أخصائي دعم تقني,1,Alkhalifa,Entry Level,IT Category,2021
Software Business Analyst,2,Nasr City,Experienced,Software Engneering,2021
Senior Sales Account Manager - IT Infrastructure,1,Nasr City,Entry Level,IT Category,2021
IT Manager,3,Nasr City,Manager,IT Category,2021
IT Administrator,0,10th Of Ramadan City,Entry Level,IT Category,2021
IT Help Desk Technician,2,Alamein,Experienced,IT Category,2021
IT Help Desk Specialist,2,New Cairo,Experienced,IT Category,2021
IT Technical Support Specialist,1,New Cairo,Entry Level,IT Category,2021
IT Support Specialist,3,Giza,Experienced,IT Category,2021
IT Engineer,6,Cairo,Experienced,IT Category,2021
Android Software Engineer - Alexandria,1,Alexandria,Entry Level,Software Engneering,2021
IT Help Desk Specialist,3,Cairo,Experienced,IT Category,2021
IT Technical Support Specialist,5,New Capital,Experienced,IT Category,2021
Network Support Engineer (Global Multinational...,2,Cairo,Experienced,Software Engneering,2021
IT Enhancement Services Officer,5,New Cairo,Manager,IT Category,2021
IT Help Desk Specialist,1,6th Of October,Entry Level,IT Category,2021
IT Infrastructure Engineer,5,Riyadh,Experienced,IT Category,2021
IT Help Desk Specialist,3,New Cairo,Experienced,IT Category,2021
Senior Mobile App Developer,3,Heliopolis,Experienced,Software Engneering,2021
Software Tester,3,Alexandria,Experienced,Software Engneering,2021
IT Technical Support Specialist,5,Heliopolis,Experienced,IT Category,2021
HR Generalist (IT Field Experience),2,New Cairo,Experienced,IT Category,2021
IT Help Desk Specialist,2,Maadi,Experienced,IT Category,2021
Senior .Net Developer,5,Heliopolis,Experienced,Software Engneering,2021
IT Help Desk,2,Aswan,Experienced,IT Category,2021
Full Stack Web Developer - C# ASP.NET - Alexandria,2,Smouha,Experienced,Software Engneering,2021
IT Manager,7,Maadi,Manager,IT Category,2021
Software Tester,1,Alexandria,Entry Level,Software Engneering,2021
IT Customer Support,5,Cairo,Experienced,IT Category,2021
IT Manager,7,Mohandessin,Manager,IT Category,2021
IT Network Engineer,0,Obour City,Entry Level,IT Category,2021
IT Specialist,3,6th Of October,Experienced,IT Category,2021
Senior Software Tester - Alexandria,2,Smouha,Experienced,Software Engneering,2021
IT Manager,5,Nasr City,Manager,IT Category,2021
Software Business Analyst - Mansoura,1,Mansoura,Entry Level,Software Engneering,2021
IT Specialist (SaaS),1,New Cairo,Entry Level,IT Category,2021
IT Project Manager,3,Mokattam,Experienced,IT Category,2021
Software Business Analyst,1,Sheraton,Entry Level,Software Engneering,2021
IT Technical Support Specialist,2,Mohandessin,Experienced,IT Category,2021
Senior PHP Software Engineer - Alexandria,3,Alexandria,Experienced,Software Engneering,2021
Software Quality Control Engineer,1,Alexandria,Entry Level,Software Engneering,2021
IT Sales Account manager-Female,1,Cairo,Entry Level,IT Category,2021
IT Engineer,3,Mohandessin,Experienced,IT Category,2021
IT Administrator,5,Cairo,Experienced,IT Category,2021
Senior Software Engineer - Sharepoint (3 Months...,5,Nasr City,Experienced,Software Engneering,2021
Software Testing Engineer,1,Dokki,Entry Level,Software Engneering,2021
Java Software Engineer,1,Maadi,Entry Level,Software Engneering,2021
IT Specialist,3,Heliopolis,Experienced,IT Category,2021
Software Sales Representative.,1,Nasr City,Entry Level,Software Engneering,2021
Senior .NET Software Engineer,5,Cairo,Experienced,Software Engneering,2021
IT Technical Support Specialist,1,Maadi,Entry Level,IT Category,2021
