title,company_name,location,exp_years,city,level,time,category,year
Software Developer,Open Minds CIT,"Downtown, Cairo",1,Downtown,Entry Level,Full Time,Software Engneering,2020
Full Stack Software Developer,Wisely Insure,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2020
Senior Full Stack Developer ( PHP Developer ),Ship To Box,"Sheikh Zayed, Giza",3,Sheikh Zayed,Experienced,Full Time,Software Engneering,2020
Software Development Team Leader,Clavis Business Solutions,"6th Of October, Giza",4,6th Of October,Manager,Full Time,Software Engneering,2020
Senior Mobile Software Developer (Ionic 2 -...,Brmaja,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2020
Software Developer and Architect - Mobile...,CHUIFY LIMITED,"Nairobi, Kenya",4,Nairobi,Experienced,Full Time,Software Engneering,2020
Software Sales Engineer,Egyptrol,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Software Developer - .Net,DigitalYard,"Heliopolis, Cairo",4,Heliopolis,Experienced,Full Time,Software Engneering,2020
Software Development Team Leader,Ebtkarat Information Technology,"Nasr City, Cairo",7,Nasr City,Manager,Full Time,Software Engneering,2020
Senior .Net Developer,Unknown,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2020
Business Development Representative - US...,Flairstech,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2020
Head of Software Development -Java/Infra Expert,People Flow,"Cairo, Egypt",7,Cairo,Manager,Full Time,Software Engneering,2020
Full Stack Web Developer,Hadbrok S.A.E,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Sales Specialist - Software,Unknown,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Experienced MERN Full-Stack Development Engineer,I2M,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
Senior .Net Core Developer,Desklab,"New Nozha, Cairo",3,New Nozha,Experienced,Full Time,Software Engneering,2020
Website Developer,Insitu Egypt,"Maadi, Cairo",4,Maadi,Experienced,Full Time,Software Engneering,2020
Senior iOS Mobile Developer,infasme.com,"Heliopolis, Cairo",5,Heliopolis,Experienced,Full Time,Software Engneering,2020
"Front End Developer "" React.JS""",Div Systems,"Mokattam, Cairo",2,Mokattam,Experienced,Full Time,Software Engneering,2020
