title,company_name,exp_years,location,city,level,time,category,year
Sales Representative,Le Garage Gallery,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Associate Systems Engineer,Sumerge,1,"Cairo, Egypt",Cairo,Entry Level,Full Time,Software Engneering,2020
Resident Engineer,eSky IT,1,"Cairo, Egypt",Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Software Engineer,Nana,4,"Sheraton, Cairo",Sheraton,Manager,Full Time,Software Engneering,2020
Sales Representative - Software Solutions,Unknown,1,"New Cairo, Cairo",New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior .Net Developer (Backend Developer),GET Group- Egypt,8,"Heliopolis, Cairo",Heliopolis,Experienced,Full Time,Software Engneering,2020
Senior Software Quality Control Engineer,BI-Technologies,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
IT Internship - Alexandria,Sutherland,0,"Alexandria, Egypt",Alexandria,Entry Level,Full Time,IT Category,2020
Senior PHP Software Engineer - Alexandria,Softxpert Incorporation,3,"Alexandria, Egypt",Alexandria,Experienced,Full Time,Software Engneering,2020
Technical Sales Specialist - IT Security,CrossWorkers,5,"New Cairo, Cairo",New Cairo,Experienced,Full Time,IT Category,2020
Software Tester & QA Engineer,Entrepreware,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,Software Engneering,2020
IT Help Desk,Keys Group Services,1,"Maadi, Cairo",Maadi,Entry Level,Full Time,IT Category,2020
Senior Software Automation Tester - Cairo,Naqla,5,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Software Business Analyst - ERP,eDoctor Software,3,"Dokki, Giza",Dokki,Experienced,Full Time And Part Time,Software Engneering,2020
Senior Android Developer,Brightbrains,3,"Dubai, United Arab Emirates",Dubai,Experienced,Full Time,Software Engneering,2020
Senior iOS Developer,Brightbrains,4,"Dubai, United Arab Emirates",Dubai,Experienced,Full Time,Software Engneering,2020
Software Tester and QA - Nasr City,Maxycode,3,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Software Testing Specialist,PMaestro,1,"Smart Village, Giza",Smart Village,Entry Level,Full Time,Software Engneering,2020
Senior Software Engineer,Wadi Degla Group,4,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
IT Help Desk Team leader - Multinational FMCG...,Unknown,3,"Sheikh Zayed, Giza",Sheikh Zayed,Manager,Full Time,IT Category,2020
IT Specialist,Ideal House,3,"6th Of October, Giza",6th Of October,Experienced,Full Time,IT Category,2020
IT Sales Engineer,cloud4rain,3,"6th Of October, Giza",6th Of October,Experienced,Full Time,IT Category,2020
IT Director,Unknown,15,"Mohandessin, Giza",Mohandessin,Manager,Full Time,IT Category,2020
Payroll And Personnel Specialist,ProService,2,"Nasr City, Cairo",Nasr City,Experienced,Full Time,Software Engneering,2020
Office Manager,Premier Services and Recruitment,7,"Garden City, Cairo",Garden City,Manager,Full Time,Software Engneering,2020
Microsoft Dynamics AX Operation Manager,CompactSoft International,8,"New Cairo, Cairo",New Cairo,Manager,Full Time,Software Engneering,2020
