job_title✫company_names✫company_locations✫job_description
Software Developer - PHP/Open Source✫Flojics✫- Alexandria, Egypt✫Full Time · Experienced · 3-20 Yrs of Exp · Agile · React · HTML · Design · PHP · CSS · javaScript · Software Development · Information Technology (IT) · Web Development · Front-End · Vue - July 16, 2021
Upper Egypt Area Manager (Operations)✫Bosta✫- Assiut, Egypt✫Full Time · Manager · 5-8 Yrs of Exp · Operations · Logistics · Supply Chain · Logistics/Supply Chain · Operations/Management - June 21, 2021
Senior Software Developer✫Beyond Solution✫- Maadi, Cairo✫Full Time · Student · 3+ Yrs of Exp · RESTful · ReactJS · NoSQL · MySQL · MongoDB · Data Science · Data Analytics · Angular · Computer Science · Computer Engineering · JavaScript · Full Stack - July 28, 2021
Senior Software Developer (.Net Core)✫Automated Systems✫- Cairo, Egypt✫Full Time · Experienced · 3+ Yrs of Exp · APIs · .NET · Development · RESTful · RESTful APIs · Back-end · .Net Core · Computer Science · Software Development · Information Technology (IT) - July 26, 2021
Software Developer✫Interact Technology Solutions✫- Maadi, Cairo✫Full Time · Experienced · 3-5 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering - July 12, 2021
Software Development (Back End .Net) Team Lead✫PaySky✫- New Cairo, Cairo✫Full Time · Manager · 5-10 Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · javaScript · Software · HTML · SQL · .NET · C# · ASP.NET · Design · Management - July 10, 2021
Software Mobile Developer✫GET Group- Egypt✫- Sheraton, Cairo✫Full Time · Entry Level · 1-3 Yrs of Exp · Software Development · Computer Science · Information Technology (IT) · Mobile Development · Android · Java · Design · Swift · Programming · Mobile - July 7, 2021
Senior Software Developer✫SABIS Educational Services✫- Cairo, Egypt✫Full Time · Experienced · 5-7 Yrs of Exp · Computer Science · Software Development · Information Technology (IT) · javaScript · IT/Software Development · Engineering - Telecom/Technology - July 13, 2021
Software Developer✫BlueCloud✫- Sheraton, Cairo✫Full Time · Entry Level · 0-2 Yrs of Exp · Computer Science · Software Development · Information Technology (IT) · Engineering · .NET · MVC · C# · javaScript · Software · Computer Engineering - July 12, 2021
Senior Software Developer✫GCSSD✫- Cairo, Egypt✫Full Time · Experienced · 8+ Yrs of Exp · Software Development · Web Development · ASP.NET · C# · SQL · OOP · OOD · Web API · Web Service · HTML5 · jQuery · BootStrap · Computer Science - July 25, 2021
